Gordon Hayward	GF	6-7	225	33	CHA, OKC	51	13	Butler	2010 Rnd 1 Pick 9	United States
Scoot Henderson	G	6-3	202	20	POR	62	0	NBA G League Ignite	2023 Rnd 1 Pick 3	United States
Taylor Hendricks	F	6-9	210	20	UTA	40	0	UCF	2023 Rnd 1 Pick 9	United States
Tyler Herro	SG	6-5	195	24	MIA	42	4	Kentucky	2019 Rnd 1 Pick 13	United States
Buddy Hield	G	6-4	220	31	IND, PHL	84	7	Oklahoma	2016 Rnd 1 Pick 6	Bahamas
Haywood Highsmith	F	6-5	220	27	MIA	66	3	Wheeling Jesuit	2018 NBA Draft, Undrafted	United States
Nate Hinton	SF	6-5	210	24	HOU	15	2	Houston	2020 NBA Draft, Undrafted	United States
D'Moi Hodge	F	6-4	180	25	LAL	7	0	Missouri	2023 NBA Draft, Undrafted	U.S. Virgin Islands
Aaron Holiday	PG	6-0	185	27	HOU	78	5	UCLA	2018 Rnd 1 Pick 23	United States
Jrue Holiday	G	6-4	205	33	BOS	69	14	UCLA	2009 Rnd 1 Pick 17	United States
Justin Holiday	SF	6-6	180	34	DEN	58	10	Washington	2011 NBA Draft, Undrafted	United States
Richaun Holmes	F	6-9	235	30	DAL, WAS	40	8	Bowling Green	2015 Rnd 2 Pick 7	United States
Chet Holmgren	C	7-1	208	21	OKC	82	1	Gonzaga	2022 Rnd 1 Pick 2	United States
Jalen Hood-Schifino	PG	6-5	215	20	LAL	21	0	Indiana	2023 Rnd 1 Pick 17	United States
Al Horford	FC	6-9	240	37	BOS	65	16	Florida	2007 Rnd 1 Pick 3	Dominican Republic
Talen Horton-Tucker	SF	6-4	234	23	UTA	51	4	Iowa State	2019 Rnd 2 Pick 16	United States
Danuel House Jr.	F	6-6	220	30	PHI	34	7	Texas A&M	2016 NBA Draft, Undrafted	United States
Caleb Houstan	SF	6-8	205	21	ORL	59	1	Michigan	2022 Rnd 2 Pick 2	Canada
Jett Howard	GF	6-8	215	20	ORL	18	0	Michigan	2023 Rnd 1 Pick 11	United States
Kevin Huerter	SF	6-7	198	25	SAC	64	5	Maryland	2018 Rnd 1 Pick 19	United States
Jay Huff	C	7-1	240	26	DEN	20	2	Virginia	2021 NBA Draft, Undrafted	United States
De'Andre Hunter	PF	6-8	221	26	ATL	57	4	Virginia	2019 Rnd 1 Pick 4	United States
Matthew Hurt	PF	6-9	233	23	MEM	8	0	Duke	2021 NBA Draft, Undrafted	United States
Bones Hyland	G	6-2	169	23	LAC	37	2	VCU	2021 Rnd 1 Pick 26	United States
Joe Ingles	F	6-9	220	36	ORL	68	9	Melbourne South (Australia)	2009 NBA Draft, Undrafted	Australia
Brandon Ingram	SF	6-8	190	26	NOP	64	7	Duke	2016 Rnd 1 Pick 2	United States
Kyrie Irving	G	6-2	195	31	DAL	58	12	Duke	2011 Rnd 1 Pick 1	United States
Jonathan Isaac	SF	6-10	230	26	ORL	58	6	Florida State	2017 Rnd 1 Pick 6	United States
Jaden Ivey	G	6-4	195	22	DET	77	1	Purdue	2022 Rnd 1 Pick 5	United States
GG Jackson II	PF	6-9	215	19	MEM	48	0	South Carolina	2023 Rnd 2 Pick 15	United States
Isaiah Jackson	PF	6-9	205	22	IND	60	2	Kentucky	2021 Rnd 1 Pick 22	United States
Andre Jackson Jr.	G	6-6	209	22	MIL	57	0	UConn	2023 Rnd 2 Pick 6	United States
Jaren Jackson Jr.	PF	6-10	242	24	MEM	66	5	Michigan State	2018 Rnd 1 Pick 4	United States
Justin Jackson	F	6-8	220	28	MIN	2	6	North Carolina	2017 Rnd 1 Pick 15	United States
Quenton Jackson	GF	6-5	173	25	IND	3	1	Texas A&M	2022 NBA Draft, Undrafted	United States
Reggie Jackson	G	6-2	208	33	DEN	82	12	Boston College	2011 Rnd 1 Pick 24	Italy
Trayce Jackson-Davis	F	6-9	245	24	GSW	68	0	Indiana	2023 Rnd 2 Pick 27	United States
LeBron James	F	6-9	250	39	LAL	71	20	St. Vincent St. Mary High School (Ohio)	2003 Rnd 1 Pick 1	United States
Jaime Jaquez Jr.	GF	6-6	225	23	MIA	75	0	UCLA	2023 Rnd 1 Pick 18	United States
DeJon Jarreau	PG	6-5	185	26	MEM	9	1	Houston	2021 NBA Draft, Undrafted	United States
DaQuan Jeffries	SF	6-5	222	26	NYK	17	4	Tulsa	2019 NBA Draft, Undrafted	United States
Trey Jemison	PF	6-10	255	24	MEM, WAS	25	0	UAB	2023 NBA Draft, Undrafted	United States
Ty Jerome	PG	6-5	195	26	CLE	2	4	Virginia	2019 Rnd 1 Pick 24	United States
Isaiah Joe	SG	6-3	165	24	OKC	78	3	Arkansas	2020 Rnd 2 Pick 19	United States
Cameron Johnson	G	6-8	210	27	BRK	58	4	North Carolina	2019 Rnd 1 Pick 11	United States
Jalen Johnson	PF	6-8	219	22	ATL	56	2	Duke	2021 Rnd 1 Pick 20	United States
